hydrostatic
testname,hydrostatic
result,pass
bpressure,2.677531090257114
sample,Pioneer 72
fluidname,
fluidvalue,
mode,null
recordy,1.527763790341039,2.3636530098420696,2.677531090257114
recordx,149.0,231.0,267.0
duration,4 min:30 sec
durationsecond,270
testtime,18:11:05
testdate,06/02/2021
customerid,N0048
indistry,
application,
splate,
ans,0.12454413672083753,0.15979247730220614,0.20511177233539435,0.26050202182040216,0.3226062409399564,0.3947814145113302,0.466956588082704,0.5391317616540778,0.6062714579995436,0.6683756771190978,0.7271229114213789,0.7825131609063867,0.8345464255741213,0.8832227054245827,0.9318989852750441,0.9788967727168689,1.0225375753414205,1.066178377965974,1.1098191805905255,1.150102998397804,1.192065308613719,1.2323491264209974,1.2709544518196392,1.309559777218281,1.3481651026169228,1.385091935606928,1.4220187685969332,1.4572671091783018,1.4925154497596704,1.527763790341039,1.5596551461051344,1.5932249942778665,1.6251163500419619,1.6603646906233305,1.6905775539787893,1.720790417334248,1.751003280689707,1.7812161440451657,1.811429007400628,1.8399633783474503,1.8684977492942725,1.8970321202410947,1.9238879987792803,1.9473868925001927,1.975921263447015,1.9994201571679273,2.0245975432974763,2.0497749294270253,2.0732738231479377,2.1001297016861233,2.1236285954070357,2.147127489127948,2.1739833676661338,2.197482261387046,2.222659647516595,2.2461585412375076,2.26965743495842,2.2931563286793324,2.314976729991608,2.3384756237125206,2.3636530098420696,2.387151903562982,2.4106507972838944,2.4324711985961702,2.454291599908446,2.479468986037995,2.501289387350271,2.5231097886625466,2.5449301899748225,2.5667505912870983,2.5902494850080107,2.6120698863202865,2.6338902876325623,2.6540321965362015,2.677531090257114
t,73.0,76.0,78.0,81.0,84.0,86.0,89.0,92.0,94.0,97.0,99.0,102.0,105.0,107.0,110.0,113.0,115.0,118.0,120.0,123.0,126.0,128.0,131.0,133.0,136.0,139.0,141.0,144.0,147.0,149.0,152.0,154.0,157.0,160.0,162.0,165.0,168.0,170.0,173.0,175.0,178.0,181.0,183.0,186.0,189.0,191.0,194.0,196.0,199.0,202.0,204.0,207.0,210.0,212.0,215.0,217.0,220.0,223.0,225.0,228.0,231.0,233.0,236.0,238.0,241.0,244.0,246.0,249.0,251.0,254.0,257.0,259.0,262.0,265.0,267.0
