hydrostatic
testname,hydrostatic
result,FAIL
bpressure,0.7348439765011054
sample,Orange
fluidname,
fluidvalue,
mode,null
recordy,0.5720302128633534,0.660990310521095,0.7348439765011054
recordx,10.0,13.0,15.0
duration,0 min:40 sec
durationsecond,40
testtime,11:51:43
testdate,20/07/2022
customerid,N0048
lotno,1
dia,5cm
thic,0.1
indistry,
application,
splate,5cm
ans,0.16415655756465952,0.28332951857785815,0.3857175555046908,0.4797131303883404,0.5720302128633534,0.660990310521095,0.7348439765011054
t,0.0,2.0,5.0,7.0,10.0,13.0,15.0
