hydrostatic
testname,hydrostatic
result,FAIL
bpressure,12.362432288090332
sample,sss
fluidname,
fluidvalue,
mode,null
recordy,3.7870145723659085,6.212436102845807,12.362432288090332
recordx,23.0,28.0,36.0
duration,1 min:2 sec
durationsecond,62
testtime,12:11:47
testdate,09/07/2022
customerid,N0048
indistry,
application,
splate,
ans,0.2067902647440274,0.3242847333485912,0.48038452735179504,0.7556572823681975,0.9822537575341403,1.168566414892803,1.5613336385137693,2.148805981536583,2.878950179293504,3.7870145723659085,4.795788509956509,6.212436102845807,7.979888609140151,10.041077286945907,12.362432288090332
t,0.0,2.0,5.0,7.0,10.0,13.0,15.0,18.0,21.0,23.0,26.0,28.0,31.0,34.0,36.0
