hydrostatic
testname,hydrostatic
result,FAIL
bpressure,2.6980086976424804
sample,sss
fluidname,
fluidvalue,
mode,null
recordy,0.9137712672617688,2.0081483176928376,2.6980086976424804
recordx,13.0,20.0,23.0
duration,1 min:13 sec
durationsecond,73
testtime,11:44:39
testdate,09/07/2022
customerid,N0048
indistry,
application,
splate,
ans,0.17355611505302448,0.2742656595712223,0.3565117875944157,0.46561379415579474,0.7089951934081036,0.9137712672617688,1.0866559853513387,1.4508888380254827,2.0081483176928376,2.6980086976424804
t,0.0,2.0,5.0,7.0,10.0,13.0,15.0,18.0,20.0,23.0
