hydrostatic
testname,hydrostatic
result,PASS
bpressure,15.077561608300908
sample,sss
fluidname,
fluidvalue,
mode,null
recordy,
recordx,
duration,3 min:53 sec
durationsecond,233
testtime,12:40:25
testdate,18/07/2022
customerid,N0048
indistry,
application,
splate,
ans,0.15912108033874972,0.22122529945830394,0.26990157930876535,0.31857785915922676,0.389074540321964,0.5586022735942624,0.7012741283283734,0.8288395513847551,0.9412985427634073,1.0453650720988783,1.1930724040588991,1.3810635538261984,1.5489127946898584,1.6949416342412427,1.825864042114901,1.9450370031280997,2.049103532463569,2.2102388036926826,2.409979400320438,2.5845426108186444,2.742320897230485,2.8849927519645995,3.0108796826123445,3.185442893110551,3.403646906233309,3.5899595635919717,3.7578088044556317,3.9088731212329293,4.041474021515221,4.226108186465247,4.456061646448461,4.652445258258943,4.82365148393988,4.979751277943084,5.117387655451285,5.305378805218584,5.542046234836345,5.718287937743188,5.788784618905929,5.951598382543679,6.085877775234607,6.26715495536736,6.490394445716028,6.683421072709237,6.852948805981537,7.007370107576104,7.208789196612496,7.45384908827344,7.667017624170288,7.851651789120318,8.019501029983978,8.234348058289463,8.494514381628136,8.716075379568167,8.905745021744107,9.08198672465095,9.306904707408254,9.573785000381474,9.805416952773328,10.00683604180972,10.255252918287937,10.545632104982069,10.792370489051653,11.003860532539864,11.26738384069581,11.572869459067672,11.829678797589075,12.04452582589456,12.313084611276416,12.620248722056914,12.843488212405585,13.0734416723888,13.357106889448385,13.679377431906612,13.954650186923018,14.187960631723506,14.473304341191728,14.802288853284505,15.077561608300908
t,0.0,2.0,5.0,7.0,10.0,13.0,15.0,18.0,20.0,23.0,26.0,28.0,31.0,33.0,36.0,39.0,41.0,44.0,47.0,49.0,52.0,54.0,57.0,60.0,62.0,65.0,68.0,70.0,73.0,75.0,78.0,81.0,83.0,86.0,89.0,91.0,94.0,96.0,99.0,102.0,104.0,107.0,110.0,112.0,115.0,117.0,120.0,123.0,125.0,128.0,131.0,133.0,136.0,138.0,141.0,144.0,146.0,149.0,151.0,154.0,157.0,159.0,162.0,165.0,167.0,170.0,172.0,175.0,178.0,180.0,183.0,186.0,188.0,191.0,193.0,196.0,199.0,201.0,204.0
