hydrostatic
testname,hydrostatic
result,FAIL
bpressure,4.1398336766613255
sample,sss
fluidname,
fluidvalue,
mode,null
recordy,3.9820553902494815,4.045838101777676,4.1398336766613255
recordx,131.0,133.0,136.0
duration,2 min:44 sec
durationsecond,164
testtime,17:51:29
testdate,15/07/2022
customerid,N0048
indistry,
application,
splate,
ans,0.1383077744716541,0.1769130998702959,0.21048294804302792,0.24237430380712333,0.27426565957121873,0.3011215381094061,0.34644083314259433,0.44882887006942696,0.5377889677271668,0.6183566033417236,0.6955672541390072,0.767742427710381,0.83823910887312,0.905378805218584,0.9624475471122285,1.022873273823146,1.1084763866636127,1.2175783932249917,1.3216449225604627,1.408926527809566,1.501243610284579,1.585168230716409,1.6657358663309658,1.7412680247196128,1.8134431982909867,1.8839398794537239,1.9477225909819147,2.0064698252841957,2.0971084153505757,2.212924391546501,2.3169909208819703,2.414343480582893,2.5016250858319964,2.5939421683070094,2.6728313115129296,2.7483634699015767,2.818860151064314,2.885999847409778,2.9514610513466053,3.015243762874796,3.1042038605325395,3.228412298771648,3.332478828107117,3.4315098802166766,3.5238269626916896,3.6127870603494294,3.695033188372623,3.7756008239871797,3.8477759975585535,3.9199511711299273,3.9820553902494815,4.045838101777676,4.1398336766613255
t,0.0,2.0,5.0,7.0,10.0,13.0,15.0,18.0,20.0,23.0,26.0,28.0,31.0,33.0,36.0,39.0,41.0,44.0,47.0,49.0,52.0,54.0,57.0,60.0,62.0,65.0,68.0,70.0,73.0,75.0,78.0,81.0,83.0,86.0,89.0,91.0,94.0,96.0,99.0,102.0,104.0,107.0,110.0,112.0,115.0,117.0,120.0,123.0,125.0,128.0,131.0,133.0,136.0
