hydrostatic
testname,hydrostatic
result,FAIL
bpressure,13.966063935301747
sample,sss
fluidname,
fluidvalue,
mode,null
recordy,9.335103379873349,11.540642404821849,13.966063935301747
recordx,47.0,49.0,52.0
duration,1 min:31 sec
durationsecond,91
testtime,11:26:37
testdate,09/07/2022
customerid,N0048
indistry,
application,
splate,
ans,0.10843060959792261,0.16046387426565722,0.23096055542839622,0.29474326695658704,0.35013351644159485,0.42566567483024187,0.6069428549629947,0.7630426489662003,0.9006790264744016,1.0215304798962368,1.2917677576867312,1.713069352254518,2.0789806973373004,2.5623865110246413,3.373098344396123,4.361730373083084,5.712916762035551,7.377981231403066,9.335103379873349,11.540642404821849,13.966063935301747
t,0.0,2.0,5.0,7.0,10.0,12.0,15.0,18.0,20.0,23.0,26.0,28.0,31.0,33.0,36.0,39.0,41.0,44.0,47.0,49.0,52.0
