hydrostatic
testname,hydrostatic
result,PASS
bpressure,15.010086213473716
sample,sss
fluidname,
fluidvalue,
mode,null
recordy,
recordx,
duration,17 min:11 sec
durationsecond,1031
testtime,13:36:23
testdate,12/07/2022
customerid,N0048
indistry,
application,
splate,
