hydrostatic
testname,hydrostatic
result,FAIL
bpressure,0.493141069657435
sample,sss
fluidname,
fluidvalue,
mode,null
recordy,0.652597848477912,0.6207064927138166,0.493141069657435
recordx,28.0,31.0,33.0
duration,1 min:27 sec
durationsecond,87
testtime,16:32:40
testdate,08/07/2022
customerid,N0048
indistry,
application,
splate,
ans,0.17758449683375233,0.27158007171740195,0.32864881361104636,0.3924315251392372,0.5317463950560768,0.5569237811856258,0.5300679026474402,0.6207064927138166,0.6005645838101774,0.5871366445410846,0.6374914168001826,0.652597848477912,0.6207064927138166,0.493141069657435
t,0.0,2.0,5.0,7.0,10.0,13.0,15.0,18.0,20.0,23.0,26.0,28.0,31.0,33.0
