hydrostatic
testname,hydrostatic
result,FAIL
bpressure,6.971786068513007
sample,sss
fluidname,
fluidvalue,
mode,null
recordy,3.3059586480506606,6.815686274509803,6.971786068513007
recordx,91.0,188.0,193.0
duration,3 min:41 sec
durationsecond,221
testtime,17:48:19
testdate,15/07/2022
customerid,N0048
indistry,
application,
splate,
ans,0.1386434729533832,0.1822842755779348,0.22256809338521322,0.2611734187838568,0.298100251773862,0.3333485923552306,0.38370336461432863,0.5045548180361639,0.6102998397802697,0.7059739070725559,0.7966124971389341,0.8822156099794007,0.9627832455939576,1.0399938963912412,1.1474174105439836,1.2884107728694598,1.4109407186999317,1.5233997100785839,1.6308232242313263,1.7298542763408857,1.8204928664072622,1.9044174868390922,1.9866636148622856,2.0605172808422996,2.167940794995042,2.30725566491188,2.433142595559625,2.5472800793469137,2.651346608682383,2.7503776607919423,2.8426947432669554,2.9266193636987854,3.0038300144960726,3.081040665293356,3.191821164263372,3.3059586480506606,3.413382162203403,3.514091706721599,3.6080872816052487,3.6936903944457153,3.774258030060272,3.851468680857556,3.91860837720302,3.9907835507743936,4.051209277485315,4.146883344777601,4.2794842450598924,4.395300221255818,4.50272373540856,4.60175478751812,4.692393377584496,4.776317998016326,4.856885633630883,4.93241779201953,5.001235980773634,5.10698100251774,5.244617380025941,5.367147325856413,5.479606317235065,5.580315861753261,5.677668421454184,5.764950026703287,5.847196154726481,5.924406805523764,5.996581979095142,6.062043183031969,6.166109712367438,6.30374608987564,6.427954528114748,6.5404135194934,6.6360875867856866,6.7284046692607,6.815686274509803,6.897932402532996,6.971786068513007
t,0.0,2.0,5.0,7.0,10.0,13.0,15.0,18.0,20.0,23.0,26.0,28.0,31.0,33.0,36.0,39.0,41.0,44.0,47.0,49.0,52.0,54.0,57.0,60.0,62.0,65.0,68.0,70.0,73.0,75.0,78.0,81.0,83.0,86.0,89.0,91.0,94.0,96.0,99.0,102.0,104.0,107.0,110.0,112.0,115.0,117.0,120.0,123.0,125.0,128.0,131.0,133.0,136.0,138.0,141.0,144.0,146.0,149.0,151.0,154.0,157.0,159.0,162.0,165.0,167.0,170.0,172.0,175.0,178.0,180.0,183.0,186.0,188.0,191.0,193.0
