hydrostatic
testname,hydrostatic
result,FAIL
bpressure,6.515571831845579
sample,sss
fluidname,
fluidvalue,
mode,null
recordy,0.7499504081788366,1.5841611352712288,6.515571831845579
recordx,7.0,15.0,28.0
duration,1 min:5 sec
durationsecond,65
testtime,11:38:27
testdate,09/07/2022
customerid,N0048
indistry,
application,
splate,
ans,0.21618982223239414,0.32864881361104814,0.4612497138933396,0.7499504081788366,0.9782253757534143,1.1678950179293501,1.5841611352712288,2.215274280918594,2.987380788891434,3.944121461814296,5.006607156481271,6.515571831845579
t,0.0,2.0,5.0,7.0,10.0,13.0,15.0,18.0,20.0,23.0,26.0,28.0
