bubblepoint
p1,0.0,15.976195925841154,31.868467231250477,45.6244754711223,58.07583733882658,65.8808270389868,74.28091859311819,80.76600289921416,85.83199816891737,91.02769512474251,94.72037842374304,98.90135042343786,102.67032883192188,105.57717250324254,108.720531013962,111.18486305027848,113.79415579461356,116.28900587472343,118.3718623636225,120.51575494010834,122.4078736552987,124.39917601281758,126.27603570611124,127.86297398336767,129.61776150148776,130.99107347219044,132.6161593041886,133.99710078583962,135.45433737697414,136.7132066834516,138.07125963225758,139.41405355916686,140.5584802014191,141.80209048599986,142.74814984359503,143.99938963912413,144.99885557335776,146.1127641718166,146.99778744182498,148.1269550621805,149.03486686503396,150.00381475547417,150.98039215686273,151.75097276264592,152.65888456549936,153.42946517128252,154.19241626611733,154.96299687190051,155.9929808499275,157.02296482795452,158.7624933241779,160.8148317692836,162.6840619516289,164.96528572518503,166.96421759365225,169.23781185626,171.25200274662393,173.6476691844053,175.50164034485388,177.7981231403067,180.0106813153277,182.1316853589685,184.48157473105974,186.51102464332035,188.77698939497978,190.6157015335317,192.86640726329443,194.62119478141452,196.87953002212558,198.72587167162584,201.02998397802702,203.1509880216678,205.08888380254825,207.32433051041428,208.96467536430916,210.8567940794995,212.3750667582208,214.26718547341116,215.77019913023574,217.70046540016784,219.25688563363087,221.02693217364768,221.91195544365607,222.57572289616235,223.29289692530708,224.03295948729686,224.78828107118335,225.4139009689479,226.03952086671245,226.40573739223316,225.78774700541695,224.1779201953155,223.03349355306324,221.67544060425726,220.6378271152819,219.48577096208132,218.46341649500266,217.18165865568017,216.28137636377508,214.9996185244526,213.93911650263217,212.8786144808118,211.61211566338596,210.72709239337757,209.46822308690014,208.58319981689175,207.44640268558786,206.5995269703212,205.59243152513923,204.78370336461433,203.80712596322576,202.79240100709544,202.03707942320898,201.00709544518196,200.2517738612955,199.35912108033875,198.59616998550393,197.8789959563592,197.1160448615244,196.23865110246433,195.37651636530097,194.73563744563972,193.98031586175327,193.35469596398872,192.6070038910506,191.97375448233768,191.22606240939956,190.72251468680858,190.01297016861218,189.40260929274433,188.75410086213475,188.2581826504921,187.74700541695276,187.1213855191882,186.49576562142366,185.99221789883268,185.4886701762417,184.98512245365072,184.42816815442131,183.84832532234682,183.34477759975584,182.84122987716486,182.50553139543754,182.1164263370718,181.4831769283589,181.09407186999314,180.71259632257573,180.2014190890364,179.81994354161898,179.43846799420157,179.05699244678416,178.54581521324482,178.29404135194935,177.78286411841,177.6531624322881,177.2716868848707,176.89021133745328,176.5011062790875,176.12726024261846,175.87548638132296,175.4863813229572,175.2346074616617,174.97520408941787,174.6013580529488,174.3801022354467,174.1283283741512
p2,15.976195925841154,31.868467231250477,45.6244754711223,58.07583733882658,65.8808270389868,74.28091859311819,80.76600289921416,85.83199816891737,91.02769512474251,94.72037842374304,98.90135042343786,102.67032883192188,105.57717250324254,108.720531013962,111.18486305027848,113.79415579461356,116.28900587472343,118.3718623636225,120.51575494010834,122.4078736552987,124.39917601281758,126.27603570611124,127.86297398336767,129.61776150148776,130.99107347219044,132.6161593041886,133.99710078583962,135.45433737697414,136.7132066834516,138.07125963225758,139.41405355916686,140.5584802014191,141.80209048599986,142.74814984359503,143.99938963912413,144.99885557335776,146.1127641718166,146.99778744182498,148.1269550621805,149.03486686503396,150.00381475547417,150.98039215686273,151.75097276264592,152.65888456549936,153.42946517128252,154.19241626611733,154.96299687190051,155.9929808499275,157.02296482795452,158.7624933241779,160.8148317692836,162.6840619516289,164.96528572518503,166.96421759365225,169.23781185626,171.25200274662393,173.6476691844053,175.50164034485388,177.7981231403067,180.0106813153277,182.1316853589685,184.48157473105974,186.51102464332035,188.77698939497978,190.6157015335317,192.86640726329443,194.62119478141452,196.87953002212558,198.72587167162584,201.02998397802702,203.1509880216678,205.08888380254825,207.32433051041428,208.96467536430916,210.8567940794995,212.3750667582208,214.26718547341116,215.77019913023574,217.70046540016784,219.25688563363087,221.02693217364768,221.91195544365607,222.57572289616235,223.29289692530708,224.03295948729686,224.78828107118335,225.4139009689479,226.03952086671245,226.40573739223316,225.78774700541695,224.1779201953155,223.03349355306324,221.67544060425726,220.6378271152819,219.48577096208132,218.46341649500266,217.18165865568017,216.28137636377508,214.9996185244526,213.93911650263217,212.8786144808118,211.61211566338596,210.72709239337757,209.46822308690014,208.58319981689175,207.44640268558786,206.5995269703212,205.59243152513923,204.78370336461433,203.80712596322576,202.79240100709544,202.03707942320898,201.00709544518196,200.2517738612955,199.35912108033875,198.59616998550393,197.8789959563592,197.1160448615244,196.23865110246433,195.37651636530097,194.73563744563972,193.98031586175327,193.35469596398872,192.6070038910506,191.97375448233768,191.22606240939956,190.72251468680858,190.01297016861218,189.40260929274433,188.75410086213475,188.2581826504921,187.74700541695276,187.1213855191882,186.49576562142366,185.99221789883268,185.4886701762417,184.98512245365072,184.42816815442131,183.84832532234682,183.34477759975584,182.84122987716486,182.50553139543754,182.1164263370718,181.4831769283589,181.09407186999314,180.71259632257573,180.2014190890364,179.81994354161898,179.43846799420157,179.05699244678416,178.54581521324482,178.29404135194935,177.78286411841,177.6531624322881,177.2716868848707,176.89021133745328,176.5011062790875,176.12726024261846,175.87548638132296,175.4863813229572,175.2346074616617,174.97520408941787,174.6013580529488,174.3801022354467,174.1283283741512,173.87655451285573
upload,yes
ans,4258.019627507163,616.612654824772,569.9963172490294,516.7426470588235,695.5253958944287,548.8370572207076,609.1143529411773,674.2178313253017,585.0982378854613,740.085950413223,592.2102919708029,598.9777327935223,710.498267716538,610.9017961165042,713.7068730650138,625.076023391815,611.2127217125369,685.280659340657,625.952953736657,667.3052419354811,599.7200000000021,604.5117073170708,682.2908653846177,595.56313043478,732.3715555555582,594.7684507042222,674.7398895027718,616.6646073298391,690.7810909090856,625.2966292134854,606.9053409090931,687.7866666666691,612.4211042944737,782.2580645161318,575.7614634146362,702.5465648854887,612.7210958904132,749.2934482758648,572.1427027027047,692.7544537815041,637.5070866141849,618.0625000000022,768.436039603949,641.5586554621771,740.1801980198181,733.1648000000026,744.0722772277117,610.6165925926032,747.9490370370294,556.9994736842125,550.5185130111506,656.8239183673443,561.7836120401322,659.1641221374069,593.6478523489953,681.7905303030327,578.5350318471291,755.4098765432183,613.9938870431878,640.9373793103389,671.1701438848944,608.5049350649373,706.8128571428596,634.3955555555538,791.4170954356814,640.4841355932185,821.1130434782638,641.4375000000023,784.3371900826476,629.7470860927097,686.0063309352543,751.3285039370105,652.9938566552883,887.4605581395303,771.0000000000027,965.8255276381853,775.4993548387124,976.2639593908756,760.7869565217362,945.6549019607877,834.7321551724034,1686.5958620689717,2276.652873563275,2083.899361702135,2026.5599999999683,1987.212525252495,2400.26707317074,2407.4926829268375,4133.4150000000145,2507.25851851847,970.2938388625711,1367.2611999999708,1150.5283146067454,1505.83852941177,1356.5096688741603,1529.0082089552293,1220.7689285714328,1734.1610169491587,1220.4892857142902,1492.194532374086,1476.0164028777228,1237.1122891566033,1768.1400000000062,1243.0560000000185,1765.592931034489,1377.271275167773,1848.2099099098855,1552.4703030303085,1931.7266037735917,1598.9840625000056,1540.3891729323145,2064.4747474747937,1514.9248888888733,2066.746666666713,1747.9902564102347,2052.4448000000075,2186.008510638306,2070.6338000000073,1780.2782608695425,1809.5915044247552,2435.0700000000083,2066.1979797980257,2492.9487804878136,2087.0418367347015,2457.963855421641,2085.4571428571503,3091.190000000011,2191.2520430107165,2556.508000000009,2396.482352941238,3136.723076922998,3043.4164179103736,2487.274390243911,2491.149268292692,3083.2178787878897,3128.194242424254,3086.960000000011,2789.6753424658345,2682.101052631457,3084.610000000011,3082.6212121212234,4633.745454545471,3991.8482352942774,2451.3274698794717,3993.950588235454,4068.7232000000145,3033.9411940297773,4062.097600000014,4071.3448000000144,4066.8608000000145,3033.0152238805235,6152.090909091279,3035.535522387986,12054.18235294254,4069.4812000000143,4064.9984000000145,3984.0752941175156,4144.651836734866,6157.207272726947,3982.858039215555,6154.18000000037,5970.437647058844,4144.79020408149,6978.570344828058,6151.762424242099,6154.781818182188
testname,bubblepoint
testtime,15:05:49
Dp,15.976195925841154,15.892271305409324,13.756008239871825,12.451361867704279,7.804989700160213,8.400091554131393,6.48508430609597,5.065995269703208,5.195696955825142,3.692683299000535,4.180971999694819,3.768978408484017,2.906843671320658,3.143358510719466,2.4643320363164776,2.609292744335079,2.4948500801098703,2.0828564888990684,2.1438925764858396,1.8921187151903638,1.991302357518876,1.8768596932936674,1.5869382772564222,1.7547875181200965,1.373311970702673,1.6250858319981774,1.380941481651007,1.4572365911345173,1.2588693064774645,1.3580529488059767,1.3427939269092803,1.1444266422522276,1.2436102845807682,0.9460593575951748,1.2512397955291021,0.9994659342336263,1.1139085984588348,0.8850232700083893,1.1291676203555312,0.9079118028534481,0.9689478904402051,0.9765774013885675,0.7705806057831808,0.9079118028534481,0.7705806057831524,0.7629510948348184,0.7705806057831808,1.0299839780269906,1.029983978027019,1.739528496223386,2.0523384451056756,1.8692301823453192,2.281223773556121,1.9989318684672241,2.2735942626077588,2.0141908903639205,2.395666437781358,1.8539711604485944,2.2964827954528175,2.2125581750210017,2.121004043640795,2.3498893720912406,2.029449912260617,2.265964751659425,1.8387121385519265,2.2507057297627284,1.7547875181200823,2.2583352407110624,1.8463416495002605,2.30411230640118,2.121004043640795,1.9378957808804387,2.235446707866032,1.6403448538948737,1.8921187151903496,1.5182726787213028,1.8921187151903496,1.503013656824578,1.9302662699321047,1.5564202334630295,1.770046540016807,0.8850232700083893,0.6637674525062778,0.7171740291447293,0.740062561989788,0.7553215838864844,0.6256198977645511,0.6256198977645511,0.3662165255207128,0.6179903868162171,1.6098268101014526,1.144426642252256,1.3580529488059767,1.037613488975353,1.15205615320059,1.0223544670786566,1.2817578393224949,0.9002822919050857,1.2817578393224949,1.0605020218204118,1.0605020218203833,1.266498817425827,0.8850232700083893,1.2588693064774361,0.8850232700083893,1.1367971313038936,0.8468757152666626,1.0070954451819603,0.8087281605249075,0.9765774013885675,1.0147249561303227,0.755321583886456,1.029983978027019,0.755321583886456,0.8926527809567517,0.7629510948348184,0.7171740291447293,0.7629510948348184,0.8773937590600553,0.862134737163359,0.6408789196612474,0.755321583886456,0.6256198977645511,0.747692072938122,0.6332494087129135,0.747692072938122,0.5035477225909801,0.7095445181963953,0.6103608758678547,0.6485084306095814,0.49591821164264616,0.5111772335393425,0.6256198977645511,0.6256198977645511,0.5035477225909801,0.5035477225909801,0.5035477225909801,0.5569542992294032,0.5798428320744904,0.5035477225909801,0.5035477225909801,0.3356984817273201,0.38910505836574316,0.6332494087129135,0.38910505836574316,0.3814755474174092,0.5111772335393425,0.3814755474174092,0.3814755474174092,0.3814755474174092,0.5111772335393425,0.25177386129547585,0.5111772335393425,0.1297016861219049,0.3814755474174092,0.3814755474174092,0.3891050583657716,0.3738460364690468,0.2517738612955043,0.3891050583657716,0.25177386129547585,0.25940337224383825,0.3738460364690752,0.22125581750208312,0.2517738612955043,0.25177386129547585
testdate,18/05/2020
fluidvalue,15.9
sample,R4063 2P
Dt,8.801,1.552,1.552,1.55,1.553,1.551,1.552,1.551,1.551,1.552,1.551,1.55,1.552,1.567,1.553,1.55,1.552,1.551,1.553,1.551,1.551,1.551,1.551,1.552,1.552,1.551,1.553,1.551,1.552,1.565,1.553,1.55,1.552,1.552,1.551,1.552,1.552,1.551,1.552,1.549,1.554,1.55,1.551,1.553,1.551,1.552,1.565,1.553,1.552,1.551,1.551,1.553,1.551,1.55,1.551,1.553,1.55,1.553,1.552,1.551,1.551,1.552,1.551,1.551,1.568,1.551,1.548,1.555,1.552,1.551,1.552,1.548,1.555,1.551,1.55,1.553,1.552,1.551,1.551,1.552,1.551,1.552,1.567,1.549,1.552,1.553,1.551,1.552,1.551,1.551,1.551,1.553,1.551,1.551,1.552,1.551,1.553,1.55,1.551,1.568,1.551,1.552,1.551,1.551,1.549,1.553,1.553,1.552,1.551,1.551,1.553,1.55,1.551,1.551,1.551,1.553,1.552,1.567,1.551,1.551,1.551,1.552,1.551,1.553,1.55,1.553,1.551,1.549,1.556,1.55,1.55,1.553,1.551,1.552,1.547,1.571,1.551,1.551,1.552,1.551,1.55,1.554,1.551,1.551,1.553,1.552,1.551,1.549,1.553,1.552,1.551,1.55,1.553,1.565,1.553,1.552,1.552,1.551,1.552,1.552,1.551,1.551,1.552,1.547,1.553,1.554
tfact,1.0
application,Medical
t,8.0,10.0,11.0,13.0,15.0,16.0,18.0,19.0,21.0,22.0,24.0,25.0,27.0,28.0,30.0,32.0,33.0,35.0,36.0,38.0,39.0,41.0,42.0,44.0,46.0,47.0,49.0,50.0,52.0,53.0,55.0,56.0,58.0,60.0,61.0,63.0,64.0,66.0,67.0,69.0,70.0,72.0,73.0,75.0,77.0,78.0,80.0,81.0,83.0,84.0,86.0,87.0,89.0,91.0,92.0,94.0,95.0,97.0,98.0,100.0,101.0,103.0,105.0,106.0,108.0,109.0,111.0,112.0,114.0,115.0,117.0,119.0,120.0,122.0,123.0,125.0,126.0,128.0,129.0,131.0,132.0,134.0,136.0,137.0,139.0,140.0,142.0,143.0,145.0,146.0,148.0,150.0,151.0,153.0,154.0,156.0,157.0,159.0,160.0,162.0,164.0,165.0,167.0,168.0,170.0,171.0,173.0,174.0,176.0,178.0,179.0,181.0,182.0,184.0,185.0,187.0,188.0,190.0,191.0,193.0,195.0,196.0,198.0,199.0,201.0,202.0,204.0,205.0,207.0,209.0,210.0,212.0,213.0,215.0,216.0,218.0,219.0,221.0,223.0,224.0,226.0,227.0,229.0,230.0,232.0,233.0,235.0,236.0,238.0,240.0,241.0,243.0,244.0,246.0,247.0,249.0,250.0,252.0,254.0,255.0,257.0,258.0,260.0,261.0,263.0,264.0
customerid,N0048
thikness,.1
indistry,Textile
samplediameter,2.3
materialclassification,Fibrous
recordx,15,20
recordy,569.99,1000
