hydrostatic
testname,hydrostatic
result,FAIL
bpressure,1.3592431525139244
sample,Green Coated
fluidname,
fluidvalue,
mode,null
recordy,1.0621499961852443,1.3223163195239191,1.3592431525139244
recordx,70.0,89.0,91.0
duration,1 min:59 sec
durationsecond,119
testtime,16:18:43
testdate,18/07/2022
customerid,N0048
indistry,
application,
splate,
ans,0.1255512321660177,0.15744258793011312,0.18933394369420853,0.2229037918669423,0.2564736400396743,0.29004348821240633,0.32361333638513834,0.35886167696650695,0.39411001754787556,0.43103685053788077,0.4662851911192494,0.4998550392919814,0.53510337987335,0.5720302128633552,0.6072785534447238,0.6425268940260924,0.677775234607461,0.7130235751888314,0.7482719157702,0.7835202563515686,0.8170901045243006,0.8523384451056693,0.8875867856870379,0.9228351262684065,0.9547264820325019,0.9882963302052339,1.0235446707866025,1.0621499961852443,1.1007553215838861,1.139360646982528,1.1746089875638965,1.2132143129625401,1.2501411459525453,1.285389486533914,1.3223163195239191,1.3592431525139244
t,0.0,2.0,5.0,7.0,10.0,13.0,15.0,18.0,20.0,23.0,26.0,28.0,31.0,33.0,36.0,39.0,41.0,44.0,47.0,49.0,52.0,54.0,57.0,60.0,62.0,65.0,68.0,70.0,73.0,75.0,78.0,81.0,83.0,86.0,89.0,91.0
