hydrostatic
testname,hydrostatic
result,FAIL
bpressure,3.5741817349507894
sample,Green Coated
fluidname,
fluidvalue,
mode,null
recordy,3.369405661097124,3.533897917143511,3.5741817349507894
recordx,222.0,233.0,235.0
duration,5 min:8 sec
durationsecond,308
testtime,16:08:29
testdate,18/07/2022
customerid,N0048
indistry,
application,
splate,
ans,0.12320134279392647,0.15677119096665848,0.1886625467307539,0.2222323949034859,0.2558022430762179,0.2893720912489517,0.3246204318303203,0.3615472648203255,0.4001525902189673,0.43875791561760913,0.47736324101625094,0.5159685664148927,0.552895399404898,0.5915007248035398,0.628427557793545,0.6653543907835502,0.703959716182192,0.7392080567635606,0.7761348897535658,0.8130617227435728,0.849988555733578,0.8869153887235832,0.9238422217135884,0.9607690547035936,0.9960173952849622,1.0329442282749675,1.0732280460822459,1.1168688487067975,1.157152666514076,1.1957579919127177,1.2377203021286327,1.2780041199359111,1.314930952925918,1.35353627832456,1.3938200961318383,1.4324254215304801,1.4693522545204853,1.5079575799191272,1.5448844129091324,1.5834897383077742,1.6204165712977794,1.655664911879148,1.6925917448691532,1.7295185778591584,1.7664454108491636,1.8033722438391688,1.840299076829174,1.8755474174105426,1.9091172655832747,1.9443656061646433,1.9796139467460119,2.0148622873273805,2.0551461051346624,2.098786907759214,2.1424277103837657,2.1843900205996807,2.2263523308155957,2.266636148622874,2.3069199664301525,2.347203784237431,2.3824521248187995,2.4210574502174413,2.4613412680247198,2.4999465934233616,2.5385519188220034,2.577157244220645,2.6174410620279236,2.654367895017929,2.691294728007934,2.729900053406576,2.766826886396581,2.8037537193865862,2.842359044785228,2.8792858777752333,2.914534218356602,2.951461051346607,2.9867093919279757,3.0219577325093443,3.0655985351338995,3.1109178301670877,3.156237125200276,3.1998779278248275,3.2451972228580157,3.2871595330739307,3.3291218432898457,3.369405661097124,3.411367971313039,3.4516517891203176,3.4936140993362326,3.533897917143511,3.5741817349507894
t,0.0,2.0,5.0,7.0,10.0,13.0,15.0,18.0,20.0,23.0,26.0,28.0,31.0,33.0,36.0,39.0,41.0,44.0,47.0,49.0,52.0,54.0,57.0,60.0,62.0,65.0,68.0,70.0,73.0,75.0,78.0,81.0,83.0,86.0,89.0,91.0,94.0,96.0,99.0,102.0,104.0,107.0,110.0,112.0,115.0,117.0,120.0,123.0,125.0,128.0,131.0,133.0,136.0,138.0,141.0,144.0,146.0,149.0,151.0,154.0,157.0,159.0,162.0,165.0,167.0,170.0,172.0,175.0,178.0,180.0,183.0,186.0,188.0,191.0,193.0,196.0,199.0,201.0,204.0,207.0,209.0,212.0,214.0,217.0,220.0,222.0,225.0,228.0,230.0,233.0,235.0
