hydrostatic
testname,hydrostatic
result,fail
bpressure,3.291696662851911
sample,ss
fluidname,Water
fluidvalue,72.0
mode,Mode 1
recordy,0.7943032822156101,1.1495563103685056,1.3221667933165484,1.8252452094300757
recordx,9.0,11.0,12.0,14.0
duration,0 min:23 sec
durationsecond,23
testtime,13:47:44
testdate,17/07/2020
customerid,N0048
indistry,Textile
application,Geotextiles
splate,Small
ans,0.0,0.0,0.0,0.0,0.0017703639276722362,0.08409228656443121,0.24844107118333716,0.41987131151293205,0.614316282902266,0.7943032822156101,0.9737001602197299,1.1495563103685056,1.3221667933165484,1.4921217303730832,1.6603063035019454,1.8252452094300757,1.9875285694666973,2.149516868848707,2.3079644403753723,2.465231769283589,2.6207287342641337,2.0406394872968643,2.186694511329824,2.4372010070954455,2.6797408651865418,2.9001511741817354,3.1002022980086976,3.291696662851911
t,3.0,3.0,4.0,5.0,6.0,6.0,7.0,8.0,9.0,9.0,10.0,11.0,12.0,12.0,13.0,14.0,15.0,15.0,16.0,17.0,18.0,18.0,19.0,20.0,21.0,21.0,22.0,23.0
