hydrostatic
testname,hydrostatic
result,pass
bpressure,9.958002032501717
sample,ss
fluidname,Water
fluidvalue,72.0
mode,Mode 1
recordy,
recordx,
duration,0 min:17 sec
durationsecond,17
testtime,13:53:47
testdate,17/07/2020
customerid,N0048
indistry,Textile
application,Geotextiles
splate,Small
ans,0.0,0.0,0.0,0.0,0.44790207370107576,1.3369198260471504,2.1787278736552986,2.9166745708400095,3.6316065369649806,4.322933650720989,4.99301639734493,5.637723927672237,6.257941423666743,6.859570098420692,7.4452654978255906,8.009421469443808,8.549972588693064,9.063378127718014,9.534885053788052,9.958002032501717
t,3.0,3.0,4.0,5.0,6.0,6.0,7.0,8.0,9.0,9.0,10.0,11.0,12.0,12.0,13.0,14.0,15.0,15.0,16.0,17.0
