hydrostatic
testname,hydrostatic
result,pass
bpressure,3.0205359212634475
sample,ss
fluidname,Water
fluidvalue,72.0
mode,Mode 1
recordy,2.739048056763562,2.861498228427558,2.927591815060655
recordx,99.0,104.0,107.0
duration,1 min:52 sec
durationsecond,112
testtime,13:51:49
testdate,17/07/2020
customerid,N0048
indistry,Textile
application,Geotextiles
splate,Small
ans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.901213092240787E-4,0.0014753032730601971,8.851819638361181E-4,0.03422703593499657,0.06845407186999314,0.10740207827878233,0.14664514534218356,0.18913387960631725,0.22542634012359808,0.26614471046005955,0.3062729594872969,0.3461061478599222,0.38564427557793546,0.42459228198672466,0.4638353490501259,0.5021932341496911,0.5405511192492561,0.5786139436942093,0.6166767681391623,0.6541494712748913,0.6916221744106203,0.7285047562371253,0.7656823987182423,0.8019748592355231,0.837972259098192,0.8739696589608608,0.9096719981689175,0.9453743373769742,0.9801914946211948,1.0150086518654156,1.0501208697642481,1.0843479056992447,1.1188700022888534,1.1525069169146258,1.1861438315403985,1.219780746166171,1.2525324788281071,1.2855792721446557,1.31803594415198,1.350492616159304,1.3823591668574045,1.4142257175555046,1.446092268253605,1.4773686976424811,1.5080550057221331,1.5387413138017854,1.5691325612268254,1.5989336873426416,1.6287348134584574,1.6582408789196612,1.6874518837262533,1.7160727672236211,1.744693650720989,1.7727244129091326,1.8007551750972763,1.8287859372854203,1.8559315175097277,1.8830770977340352,1.909927617303731,1.9364830762188145,1.963038535133898,1.9890038727397577,2.015264271000229,2.0406394872968643,2.0660147035935,2.091094859235523,2.1158799542229345,2.140369988555734,2.164860022888533,2.188759935912108,2.2129549095902954,2.2365597619592585,2.2601646143282217,2.283474406042573,2.3061940764477,2.329208807507439,2.3516334172579536,2.374058027008469,2.396482636758984,2.4183171252002746,2.439856552986954,2.4616910414282445,2.4832304692149236,2.5044748363469904,2.525424142824445,2.5460783886472877,2.5667326344701307,2.5867967589837493,2.606565822842756,2.6263348867017626,2.645513829251545,2.6649878324559397,2.6835766536964982,2.7024605355916687,2.7210493568322276,2.739048056763562,2.7573418173495083,2.7750454566262306,2.7930441565575648,2.810452735179675,2.8275662531471735,2.8443847104600595,2.861498228427558,2.8783166857404443,2.8948400823987184,2.911363479056993,2.927591815060655,2.943525090409705,2.959163305104143,2.974801519798581,2.990439734493019,3.005487827878233,3.0205359212634475
t,3.0,3.0,4.0,5.0,6.0,6.0,7.0,8.0,9.0,9.0,10.0,11.0,12.0,12.0,13.0,14.0,15.0,15.0,16.0,17.0,18.0,18.0,19.0,20.0,21.0,21.0,22.0,23.0,24.0,24.0,25.0,26.0,27.0,27.0,28.0,29.0,30.0,30.0,31.0,32.0,33.0,33.0,34.0,35.0,36.0,36.0,37.0,38.0,39.0,40.0,40.0,41.0,42.0,43.0,43.0,44.0,45.0,46.0,46.0,47.0,48.0,49.0,49.0,50.0,51.0,52.0,52.0,53.0,54.0,55.0,55.0,56.0,57.0,58.0,58.0,59.0,60.0,61.0,61.0,62.0,63.0,64.0,64.0,65.0,66.0,67.0,67.0,68.0,69.0,70.0,70.0,71.0,72.0,73.0,73.0,74.0,75.0,76.0,76.0,77.0,78.0,79.0,80.0,80.0,81.0,82.0,83.0,83.0,84.0,85.0,86.0,86.0,87.0,88.0,89.0,89.0,90.0,91.0,92.0,92.0,93.0,94.0,95.0,95.0,96.0,97.0,98.0,98.0,99.0,100.0,101.0,101.0,102.0,103.0,104.0,104.0,105.0,106.0,107.0,107.0,108.0,109.0,110.0,110.0,111.0,112.0
