hydrostatic
testname,hydrostatic
result,
bpressure,2.002563515678645
sample,ss
fluidname,Water
fluidvalue,72.0
mode,Mode 3
duration,0 min:27 sec
durationsecond,27
testtime,13:57:24
testdate,14/07/2020
customerid,N0048
indistry,Protective Wear
application,PPE
splate,Medium
p1,8.239871824216068E-4,0.07745479514763104,0.19034103913939115,0.28372625314717326,0.37051956969558253,0.4537422751201648,0.5336690318150606,0.6116731517509728,0.6954451819638361,0.7800411993591211,0.8561226825360494,0.8780956740672923,0.40540169375143054,0.42243076218814374,0.4100709544518196,0.409246967269398,1.130785076676585,1.377431906614786,1.5243762874799724,1.6166628519111925,1.6875257495994507,1.6828564888990616,1.6416571297779812,1.8396887159533073,1.9212634470130465,1.9583428702220187,1.8289768825818264,1.9624628061341267
ans,8.239871824216068E-4,0.07745479514763104,0.19034103913939115,0.28372625314717326,0.37051956969558253,0.4537422751201648,0.5336690318150606,0.6116731517509728,0.6954451819638361,0.7800411993591211,0.8561226825360494,0.8780956740672923,0.40540169375143054,0.42243076218814374,0.4100709544518196,0.409246967269398,1.130785076676585,1.377431906614786,1.5243762874799724,1.6166628519111925,1.6875257495994507,1.6828564888990616,1.6416571297779812,1.8396887159533073,1.9212634470130465,1.9583428702220187,1.8289768825818264,1.9624628061341267
t,5.0,6.0,7.0,8.0,8.0,9.0,10.0,11.0,11.0,12.0,13.0,14.0,14.0,15.0,16.0,17.0,17.0,18.0,19.0,20.0,20.0,21.0,22.0,23.0,23.0,24.0,25.0,26.0
