hydrostatic
testname,hydrostatic
result,fail
bpressure,1.2459526262302596
sample,Gown GX100
fluidname,Water
fluidvalue,72.0
mode,Mode 1
recordy,
recordx,
duration,3 min:39 sec
durationsecond,219
testtime,18:05:39
testdate,30/01/2021
customerid,N0048
indistry,Protective Wear
application,PPE
splate,Small
ans,4.702883255664913,0.006992937514308295,0.011713907988101013,0.013779332570383218,0.015549696498057486,0.01643487846189373,0.0173200604257282,0.018500303044175936,0.019090424353400692,0.019975606317236938,0.02115584893568645,0.022926212863357165,0.025581758754864126,0.0,0.0,0.0,0.024991637445641146,0.022631152208745675,0.0,0.0,0.0,0.026762001373313637,0.022926212863357165,0.0,0.0,0.0,0.014074393224996484,0.02351633417258192,0.024991637445641146,0.0,0.0,0.025286698100252636,0.051547096360724964,0.06630012909132788,0.12472213870451121,0.040629852140078526,0.10908392401007205,0.12885298786907917,0.15068747631037205,0.18314414831769454,0.19435645319295247,0.16927629755092788,0.23861555138475765,0.26399076768139373,0.2902511659418643,0.3165115642023366,0.34749293293660166,0.3775891197070287,0.36814717875944325,0.4295197949187468,0.4581406784161164,0.4956133815518431,0.5262996896314984,0.5507897239642947,0.5988846106660581,0.6207190991073492,0.7033360823987209,0.6770756841382468,0.725760692149235,0.7720852149233259,0.8544071375600844,0.8508664097047394,0.9653499436942106,0.9491216076905484,1.0075436173037335,1.0529829581139882,1.1016679661249729,1.132649334859238,1.1695319166857434,1.2016935280384544,1.251263718013277,1.3170622439917619,1.2854907539482738,1.3117511522087444,1.3079153636987897,1.3135215161364187,1.325619002975511,1.323553578393227,1.3262091242847358,1.360731220874344,1.3217832144655546,1.3253239423208996,1.347453491416804,1.325028881666288,1.3253239423208996,1.3297498521400808,1.3545349471274921,1.3203079111924954,1.3223733357747776,1.3232585177386156,1.3329955193408125,1.3141116374456416,1.3141116374456416,1.3335856406500373,1.3096857276264622,1.3096857276264622,1.3138165767910301,1.3155869407187026,1.3149968194094779,1.320012850537882,1.3046696964980562,1.3070301817349517,1.3152918800640894,1.3085054850080144,1.3259140636301225,1.2978833014419777,1.301719089951936,1.3073252423895667,1.2984734227512043,1.2969981194781433,1.2946376342412478,1.2984734227512043,1.312931394827194,1.2851956932936623,1.289916663767455,1.2937524522774115,1.2881462998397826,1.2866709965667216,1.2893265424582303,1.2860808752574968,1.3070301817349517,1.2807697834744811,1.2760488130006884,1.2831302687113784,1.2804747228198696,1.2860808752574968,1.2733932671091814,1.2789994195468086,1.2733932671091814,1.2801796621652564,1.261000719615474,1.2612957802700855,1.2686722966353887,1.2657216900892667,1.287851239185171,1.2565748097962928,1.2536242032501743,1.2592303556878033,1.2636562655069827,1.2477229901579339,1.2471328688487073,1.2565748097962928,1.254804445868622,1.2450674442664251,1.2462476868848729,1.2471328688487073,1.2397563524834077,1.2432970803387526,1.2459526262302596
t,17.0,19.0,20.0,21.0,23.0,24.0,26.0,27.0,28.0,30.0,31.0,32.0,34.0,35.0,36.0,38.0,39.0,40.0,42.0,43.0,45.0,46.0,47.0,49.0,50.0,51.0,53.0,54.0,55.0,57.0,58.0,59.0,61.0,62.0,63.0,65.0,66.0,68.0,69.0,70.0,72.0,73.0,74.0,76.0,77.0,78.0,80.0,81.0,82.0,84.0,85.0,87.0,88.0,89.0,91.0,92.0,93.0,95.0,96.0,97.0,99.0,100.0,101.0,103.0,104.0,105.0,107.0,108.0,110.0,111.0,112.0,114.0,115.0,116.0,118.0,119.0,120.0,122.0,123.0,124.0,126.0,127.0,129.0,130.0,131.0,133.0,134.0,135.0,137.0,138.0,139.0,141.0,142.0,143.0,145.0,146.0,147.0,149.0,150.0,152.0,153.0,154.0,156.0,157.0,158.0,160.0,161.0,162.0,164.0,165.0,166.0,168.0,169.0,171.0,172.0,173.0,175.0,176.0,177.0,179.0,180.0,181.0,183.0,184.0,185.0,187.0,188.0,189.0,191.0,192.0,194.0,195.0,196.0,198.0,199.0,200.0,202.0,203.0,204.0,206.0,207.0,208.0,210.0,211.0,213.0,214.0,215.0,217.0,218.0
