hydrostatic
testname,hydrostatic
result,fail
bpressure,0.01103526848249281
sample,Gown GX100
fluidname,Water
fluidvalue,72.0
mode,Mode 1
recordy,
recordx,
duration,0 min:52 sec
durationsecond,52
testtime,17:37:53
testdate,30/01/2021
customerid,N0048
indistry,Protective Wear
application,PPE
splate,Small
ans,7.081455710693518E-4,7.081455710693518E-4,0.001298266880295884,0.001298266880295884,0.00218344884413213,0.0024785094987436196,0.0033636914625798653,0.0027735701533551094,0.0033636914625798653,0.004543934081027601,0.004248873426414335,0.004543934081027601,0.00542911604486207,0.00513405539025058,0.006019237354088602,0.006019237354088602,0.006609358663311582,0.006609358663311582,0.007494540627147828,0.007199479972536338,0.007789601281759317,0.008084661936372584,0.008379722590984073,0.008969843900207053,0.009559965209431809,0.01103526848249281,0.008379722590984073
t,17.0,18.0,19.0,21.0,22.0,23.0,25.0,26.0,28.0,29.0,30.0,32.0,33.0,34.0,36.0,37.0,38.0,40.0,41.0,42.0,44.0,45.0,47.0,48.0,49.0,51.0,52.0
