hydrostatic
testname,hydrostatic
result,fail
bpressure,0.00793713160906151
sample,Gown GX100
fluidname,Water
fluidvalue,72.0
mode,Mode 1
recordy,
recordx,
duration,1 min:15 sec
durationsecond,75
testtime,17:33:54
testdate,30/01/2021
customerid,N0048
indistry,Protective Wear
application,PPE
splate,Small
ans,0.0011507365529848101,0.0014457972075963,0.001740857862209566,0.002035918516821056,0.0026260398260440354,0.0023309791714325456,0.0026260398260440354,0.0029211004806573015,0.0029211004806573015,0.0032161611352687913,0.003806282444491771,0.0032161611352687913,0.003806282444491771,0.004101343099105037,0.004396403753716527,0.004396403753716527,0.004396403753716527,0.004691464408328017,0.004986525062939506,0.0052815857175527725,0.004986525062939506,0.0052815857175527725,0.005576646372164262,0.005576646372164262,0.005871707026775752,0.006461828336002284,0.006166767681387242,0.006166767681387242,0.006461828336002284,0.006461828336002284,0.006756888990613774,0.007051949645225264,0.007051949645225264,0.007347010299836754,0.007051949645225264,0.007347010299836754,0.007347010299836754,0.00764207095445002,0.00793713160906151,0.00793713160906151,0.00793713160906151,0.00793713160906151,0.00793713160906151,0.006166767681387242
t,17.0,18.0,19.0,21.0,22.0,23.0,25.0,26.0,28.0,29.0,30.0,32.0,33.0,34.0,36.0,37.0,38.0,40.0,41.0,42.0,44.0,45.0,46.0,48.0,49.0,51.0,52.0,53.0,55.0,56.0,57.0,59.0,60.0,61.0,63.0,64.0,65.0,67.0,68.0,70.0,71.0,72.0,74.0,75.0
