hydrostatic
testname,hydrostatic
result,fail
bpressure,1.2895330849164566
sample,Gown GX100
fluidname,Water
fluidvalue,72.0
mode,Mode 1
recordy,
recordx,
duration,2 min:1 sec
durationsecond,121
testtime,18:11:32
testdate,30/01/2021
customerid,N0048
indistry,Protective Wear
application,PPE
splate,Small
ans,0.003068630807964823,0.004543934081024048,0.005429116044860294,0.006904419317921295,0.008379722590982297,0.009855025864041522,0.01221551110093877,0.01487105699244573,0.018706845502402203,0.02283769466697194,0.030804332341498153,0.035525302815289095,0.04349194048981353,0.056769669947357215,0.033459878233005114,0.041426515907531325,0.10692998123140285,0.13142001556420269,0.15620511055161224,0.22819991027695075,0.1815803268482501,0.20400493659876417,0.26862321995880123,0.2878021625085836,0.3264551082627616,0.33206126070038877,0.4019906358434433,0.38428699656672016,0.4238251242847326,0.4607077061112381,0.49404956008239864,0.5566024188601499,0.5450950533302805,0.6162046710917828,0.615614549782558,0.6586934053559172,0.7174104756237139,0.7336388116273742,0.8242224325932703,0.8127150670633991,0.8855950487525739,0.9263134190890359,0.9980131581597629,1.0171921007095435,1.0655820480659184,1.1428879395742744,1.1411175756466,1.1741643689631491,1.219013588464179,1.2585517161821933,1.2529455637445626,1.2907133275349043,1.3022206930647737,1.312252755321584,1.3087120274662407,1.3051712996108957,1.3317267585259778,1.3090070881208522,1.315793483176929,1.3323168798352025,1.3169737257953766,1.3261206060883488,1.3036959963378347,1.306646602883955,1.3113675733577477,1.3125478159761954,1.327005788052185,1.300450329137103,1.3048762389562825,1.3255304847791258,1.2966145406271448,1.2921886308079635,1.3016305717555507,1.2992700865186553,1.2986799652094305,1.3311366372167548,1.2895330849164566
t,17.0,19.0,20.0,21.0,23.0,24.0,26.0,27.0,28.0,30.0,31.0,32.0,34.0,35.0,36.0,38.0,39.0,40.0,42.0,43.0,45.0,46.0,47.0,49.0,50.0,51.0,53.0,54.0,55.0,57.0,58.0,59.0,61.0,62.0,63.0,65.0,66.0,68.0,69.0,70.0,72.0,73.0,74.0,76.0,77.0,78.0,80.0,81.0,82.0,84.0,85.0,86.0,88.0,89.0,91.0,92.0,93.0,95.0,96.0,97.0,99.0,100.0,101.0,103.0,104.0,105.0,107.0,108.0,110.0,111.0,112.0,114.0,115.0,116.0,118.0,119.0,120.0
