hydrostatic
testname,hydrostatic
result,fail
bpressure,1.1469302705424589
sample,Gown GX100
fluidname,Water
fluidvalue,72.0
mode,Mode 1
recordy,
recordx,
duration,3 min:33 sec
durationsecond,213
testtime,18:32:36
testdate,30/01/2021
customerid,N0048
indistry,Protective Wear
application,PPE
splate,Small
ans,0.0,0.08471191393911504,0.126905587548638,0.16673877592126374,0.2045065397116037,0.24227430350194545,0.2788618246738377,0.3160394671549547,0.3529220489814602,0.3900996914625754,0.4281625159075304,0.4656352190432571,0.5042881647974351,0.5432361712062246,0.5827742989242388,0.6226074872968645,0.6639159789425495,0.7066997738612955,0.7500736900892644,0.7958080915541323,0.8427227356374463,0.8925879862668804,0.944223600823987,0.9988098219272139,1.0554614676127247,1.1159489018081956,1.1761412753490514,1.2372188308537417,1.298591447013047,1.3590788812085144,1.415730526894027,1.4685463840695796,1.5063141478599213,1.5361152739757387,1.550278185397115,1.56090036896315,1.564736157473103,1.562965793545434,1.5520485493247875,1.2912149306477438,1.1177192657358663,1.104736596932936,1.1156538411535806,1.1233254181734953,1.1304068738841835,1.1351278443579762,1.1383735115587097,1.140438936140992,1.1419142394140547,1.143389542687114,1.1436846033417254,1.1445697853055616,1.1454549672693979,1.1451599066147846,1.1460450885786209,1.1460450885786209,1.1466352098878474,1.1463401492332324,1.1466352098878474,1.1463401492332324,1.1466352098878474,1.1466352098878474,1.1463401492332324,1.1463401492332324,1.1469302705424589,1.1469302705424589,1.1466352098878474,1.1466352098878474,1.1469302705424589,1.1454549672693979,1.1466352098878474,1.1466352098878474,1.1466352098878474,1.1466352098878474,1.1460450885786209,1.1460450885786209,1.1463401492332324,1.1460450885786209,1.1460450885786209,1.1466352098878474,1.1463401492332324,1.1463401492332324,1.1463401492332324,1.1460450885786209,1.1457500279240094,1.1460450885786209,1.1460450885786209,1.1457500279240094,1.1463401492332324,1.1460450885786209,1.1460450885786209,1.1460450885786209,1.1460450885786209,1.1457500279240094,1.1460450885786209,1.1457500279240094,1.1457500279240094,1.1466352098878474,1.1463401492332324,1.1469302705424589,1.1466352098878474,1.1466352098878474,1.1466352098878474,1.1463401492332324,1.1463401492332324,1.1463401492332324,1.1463401492332324,1.1463401492332324,1.1463401492332324,1.1469302705424589,1.1469302705424589,1.1466352098878474,1.1466352098878474,1.1466352098878474,1.1466352098878474,1.1466352098878474,1.1466352098878474,1.1466352098878474,1.1463401492332324,1.1466352098878474,1.1469302705424589,1.1469302705424589,1.1466352098878474,1.1466352098878474,1.1460450885786209,1.1463401492332324,1.1463401492332324,1.1463401492332324,1.1463401492332324,1.1469302705424589,1.1472253311970704,1.1466352098878474,1.1466352098878474,1.1466352098878474,1.1469302705424589,1.1469302705424589,1.1469302705424589,1.1472253311970704,1.1469302705424589,1.1463401492332324,1.1463401492332324,1.1475203918516819,1.1472253311970704,1.1472253311970704,1.1469302705424589
t,17.0,19.0,20.0,21.0,23.0,24.0,26.0,27.0,28.0,30.0,31.0,32.0,34.0,35.0,36.0,38.0,39.0,40.0,42.0,43.0,45.0,46.0,47.0,49.0,50.0,51.0,53.0,54.0,55.0,57.0,58.0,59.0,61.0,62.0,63.0,65.0,66.0,68.0,69.0,70.0,72.0,73.0,74.0,76.0,77.0,78.0,80.0,81.0,82.0,84.0,85.0,87.0,88.0,89.0,91.0,92.0,93.0,95.0,96.0,97.0,99.0,100.0,101.0,103.0,104.0,105.0,107.0,108.0,110.0,111.0,112.0,114.0,115.0,116.0,118.0,119.0,120.0,122.0,123.0,124.0,126.0,127.0,129.0,130.0,131.0,133.0,134.0,135.0,137.0,138.0,139.0,141.0,142.0,143.0,145.0,146.0,147.0,149.0,150.0,152.0,153.0,154.0,156.0,157.0,158.0,160.0,161.0,162.0,164.0,165.0,166.0,168.0,169.0,171.0,172.0,173.0,175.0,176.0,177.0,179.0,180.0,181.0,183.0,184.0,185.0,187.0,188.0,189.0,191.0,192.0,194.0,195.0,196.0,198.0,199.0,200.0,202.0,203.0,204.0,206.0,207.0,208.0,210.0,211.0,213.0
