hydrostatic
testname,hydrostatic
result,fail
bpressure,0.01428093568322275
sample,Gown GX100
fluidname,Water
fluidvalue,72.0
mode,Mode 1
recordy,
recordx,
duration,1 min:5 sec
durationsecond,65
testtime,17:49:06
testdate,30/01/2021
customerid,N0048
indistry,Protective Wear
application,PPE
splate,Small
ans,4.130849164596384E-4,0.0024785094987418432,0.004248873426416111,0.0054291160448638465,0.005724176699475336,0.006609358663311582,0.006609358663311582,0.0071994799725345615,0.007789601281759317,0.008379722590982297,0.008969843900207053,0.009559965209430032,0.010150086518656565,0.009855025864045075,0.010445147173268055,0.009559965209430032,0.010740207827879544,0.0113303291371043,0.012215511100940546,0.012510571755552036,0.012805632410163525,0.012805632410163525,0.013100693064775015,0.012805632410163525,0.012805632410163525,0.012805632410163525,0.012805632410163525,0.013100693064775015,0.013395753719388281,0.013690814373999771,0.01428093568322275,0.01428093568322275,0.014871056992449283,0.014871056992449283,0.01428093568322275,0.010740207827879544
t,17.0,19.0,20.0,21.0,23.0,24.0,26.0,27.0,28.0,30.0,31.0,32.0,34.0,35.0,36.0,38.0,39.0,40.0,42.0,43.0,44.0,46.0,47.0,49.0,50.0,51.0,53.0,54.0,55.0,57.0,58.0,59.0,61.0,62.0,63.0,65.0
