hydrostatic
testname,hydrostatic
result,pass
bpressure,3.804217019913024
sample,Gown GX100
fluidname,Water
fluidvalue,72.0
mode,Mode 1
recordy,2.5044748363469904,2.7688491828793778,3.290516420233463
recordx,12.0,13.0,15.0
duration,0 min:17 sec
durationsecond,17
testtime,15:21:57
testdate,17/07/2020
customerid,N0048
indistry,Protective Wear
application,PPE
splate,Small
ans,0.0,0.0,0.0,0.0,0.04514428015564203,0.31217417257953767,0.5907114305333029,0.8710190524147403,1.1501464316777297,1.4260281437399862,1.6986641886015108,1.9701199908445868,2.2383301258869306,2.5044748363469904,2.7688491828793778,3.030567983520257,3.290516420233463,3.548694493018998,3.804217019913024
t,3.0,3.0,4.0,5.0,6.0,6.0,7.0,8.0,9.0,9.0,10.0,11.0,12.0,12.0,13.0,14.0,15.0,15.0,16.0
