hydrostatic
testname,hydrostatic
result,pass
bpressure,10.501798818951706
sample,Gown GX100
fluidname,Water
fluidvalue,72.0
mode,Mode 1
recordy,3.7089124284733352,6.895272437628749,9.112653257038223
recordx,24.0,27.0,29.0
duration,0 min:30 sec
durationsecond,30
testtime,15:36:28
testdate,17/07/2020
customerid,N0048
indistry,Protective Wear
application,PPE
splate,Small
ans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31512477912565806,1.0937898466468299,1.9724804760814834,2.8609081071183335,3.7089124284733352,4.529771169604029,5.332631210803388,6.121033279926757,6.895272437628749,7.654463501945526,8.390639835202565,9.112653257038223,9.818438342870223,10.501798818951706
t,3.0,3.0,4.0,5.0,6.0,6.0,7.0,8.0,9.0,9.0,10.0,11.0,12.0,12.0,13.0,14.0,15.0,15.0,16.0,17.0,18.0,18.0,19.0,20.0,21.0,21.0,22.0,23.0,24.0,24.0,25.0,26.0,27.0,27.0,28.0,29.0,30.0,30.0
