hydrostatic
testname,hydrostatic
result,fail
bpressure,0.03871195788510029
sample,Gown GX100
fluidname,Water
fluidvalue,72.0
mode,Mode 1
recordy,
recordx,
duration,0 min:55 sec
durationsecond,55
testtime,17:50:55
testdate,30/01/2021
customerid,N0048
indistry,Protective Wear
application,PPE
splate,Small
ans,0.004189861295492037,0.004189861295492037,0.004779982604716793,0.005370103913939772,0.006550346532387508,0.0077305891508370195,0.008615771114673265,0.009205892423896245,0.009796013733121,0.01038613504234398,0.010976256351568736,0.011271317006180226,0.011271317006180226,0.008615771114673265,0.01038613504234398,0.011861438315406758,0.012746620279241228,0.013926862897688963,0.015107105516136698,0.016582408789199476,0.018057712062258702,0.019533015335317927,0.02130337926299042,0.0233688038452744,0.026024349736783137,0.029270016937514853,0.0331058054474731,0.03871195788510029,0.0
t,17.0,19.0,20.0,21.0,23.0,24.0,26.0,27.0,28.0,30.0,31.0,32.0,34.0,35.0,36.0,38.0,39.0,40.0,42.0,43.0,44.0,46.0,47.0,49.0,50.0,51.0,53.0,54.0,55.0
