hydrostatic
testname,hydrostatic
result,fail
bpressure,1.529417397116049
sample,Gown GX100
fluidname,Water
fluidvalue,72.0
mode,Mode 1
recordy,1.4376535335317016,1.4972557857633362,1.529417397116049
recordx,175.0,176.0,181.0
duration,3 min:2 sec
durationsecond,182
testtime,17:56:06
testdate,30/01/2021
customerid,N0048
indistry,Protective Wear
application,PPE
splate,Small
ans,4.681845430991075,0.003363691462578089,0.003658752117191355,0.005134055390252357,0.007199479972536338,0.009264904554818543,0.01074020782788132,0.011920450446329056,0.013395753719388281,0.013690814373999771,0.015166117647060773,0.01782166353856951,0.020182148775466757,0.023132755321585208,0.02696854383154168,0.030509271686886663,0.03434506019684491,0.03877097001602259,0.04349194048981708,0.04850797161822129,0.05411412405585203,0.060310397802703974,0.06591655024033294,0.07329306660563262,0.08096464362554556,0.08804609933623375,0.09601273701075996,0.10456949599450738,0.11401143694209281,0.12374843854429152,0.13466568276493796,0.1458779876401941,0.15797547447928828,0.1712532039368302,0.21934809063859184,0.17744947768368213,0.18571117601281983,0.2234789398031598,0.2385270331883742,0.2532800659189771,0.26773803799496676,0.2851466166170784,0.307866287022204,0.2969490428015593,0.32173413778897064,0.3376674131380195,0.35330562783245867,0.3848771178759449,0.37218950972762954,0.38428699656672194,0.4067116063172378,0.42441524559395916,0.4506756438544315,0.44772503730831126,0.4618879487296894,0.4810668912794718,0.49670510597390916,0.5356531123826969,0.5164741698329163,0.5356531123826969,0.5648641171892894,0.5627986926070054,0.5725356942092041,0.6002713957427339,0.6318428857862237,0.6226960054932498,0.6589884660105305,0.6489564037537203,0.6637094364843232,0.6852488642710011,0.7041327461661719,0.7212462641336721,0.7244919313344038,0.7419005099565137,0.7554733000686671,0.7749473032730609,0.8324841309224098,0.8006175802243085,0.8091743392080577,0.83543473746853,0.8625803176928386,0.8578593472190459,0.8761531078049902,0.907134476539257,0.9100850830853755,0.9410664518196388,0.9330998141451161,0.951983696040287,0.9714576992446808,0.991226763103688,1.0381414071870019,1.0151266761272613,1.0281093449301917,1.0726635037766101,1.0638116841382494,1.0965634168001834,1.091547385671781,1.1089559642938909,1.1310855133897952,1.1650174886701787,1.1549854264133685,1.1753446115815986,1.2060309196612504,1.212227193408106,1.2650430505836585,1.247929532616162,1.2615023227283135,1.2789109013504252,1.3199243323414986,1.3066466028839585,1.3458896699473577,1.368609340352485,1.3674290977340355,1.4096227713435603,1.3942796173037308,1.4264412286564436,1.4376535335317016,1.4972557857633362,1.4721756301213098,1.513779182421608,1.516139667658507,1.529417397116049
t,17.0,19.0,20.0,21.0,23.0,24.0,26.0,27.0,28.0,30.0,31.0,32.0,34.0,35.0,36.0,38.0,39.0,40.0,42.0,43.0,45.0,46.0,47.0,49.0,50.0,51.0,53.0,54.0,55.0,57.0,58.0,59.0,61.0,62.0,63.0,65.0,66.0,68.0,69.0,70.0,72.0,73.0,74.0,76.0,77.0,78.0,80.0,81.0,82.0,84.0,85.0,87.0,88.0,89.0,91.0,92.0,93.0,95.0,96.0,97.0,99.0,100.0,101.0,103.0,104.0,105.0,107.0,108.0,110.0,111.0,112.0,114.0,115.0,116.0,118.0,119.0,120.0,122.0,123.0,124.0,126.0,127.0,128.0,130.0,131.0,133.0,134.0,135.0,137.0,138.0,139.0,141.0,142.0,143.0,145.0,146.0,147.0,149.0,150.0,152.0,153.0,154.0,156.0,157.0,158.0,160.0,161.0,162.0,164.0,165.0,166.0,168.0,169.0,171.0,172.0,173.0,175.0,176.0,177.0,179.0,180.0,181.0
