hydrostatic
testname,hydrostatic
result,fail
bpressure,0.05405511192492618
sample,Gown GX100
fluidname,Water
fluidvalue,72.0
mode,Mode 1
recordy,
recordx,
duration,1 min:7 sec
durationsecond,67
testtime,17:32:15
testdate,30/01/2021
customerid,N0048
indistry,Protective Wear
application,PPE
splate,Small
ans,0.0021244367132080555,0.0024194973678213216,0.0027145580224328114,0.003009618677044301,0.003304679331655791,0.003304679331655791,0.004189861295492037,0.004189861295492037,0.004779982604716793,0.005075043259328282,0.005075043259328282,0.005665164568551262,0.006255285877777794,0.006255285877777794,0.006845407187000774,0.00714046784161404,0.006845407187000774,0.00743552849622553,0.0077305891508370195,0.00802564980544851,0.05021932341496971,0.052284747997255465,0.05405511192492618,0.054645233234150936,0.054350172579539446,0.054350172579539446,0.054350172579539446,0.054350172579539446,0.054645233234150936,0.05405511192492618,0.05405511192492618,0.054645233234150936,0.054645233234150936,0.052579808651866955,0.052579808651866955,0.05376005127031469,0.05405511192492618,0.04313786770428152
t,17.0,18.0,20.0,21.0,22.0,24.0,25.0,26.0,28.0,29.0,30.0,32.0,33.0,34.0,36.0,37.0,38.0,40.0,41.0,43.0,44.0,45.0,47.0,48.0,49.0,51.0,52.0,53.0,55.0,56.0,58.0,59.0,60.0,62.0,63.0,64.0,66.0,67.0
