hydrostatic
testname,hydrostatic
result,FAIL
bpressure,0.5082475013351626
sample,MAF
fluidname,
fluidvalue,
mode,null
recordy,0.3068284122987688,0.34207675288013917,0.5082475013351626
recordx,20.0,23.0,28.0
duration,1 min:14 sec
durationsecond,74
testtime,12:44:11
testdate,14/07/2022
customerid,N0048
indistry,
application,
splate,
ans,0.11044480048828653,0.13226520180056234,0.15408560311283814,0.17758449683375055,0.20444037537193616,0.22793926909284856,0.25479514763103417,0.2799725337605832,0.3068284122987688,0.34207675288013917,0.4260013733119692,0.5082475013351626
t,0.0,2.0,5.0,7.0,10.0,13.0,15.0,18.0,20.0,23.0,26.0,28.0
