hydrostatic
testname,hydrostatic
result,FAIL
bpressure,9.014175631342033
sample,nvbn
fluidname,
fluidvalue,
mode,null
recordy,9.227344167238881,9.047745479514765,9.014175631342033
recordx,26.0,107.0,123.0
duration,2 min:27 sec
durationsecond,147
testtime,16:28:11
testdate,19/07/2022
customerid,N0048
lotno,1
dia,5cm
thic,1
indistry,
application,
splate,5cm
ans,0.3095140001525909,1.8000152590218956,3.0622415503166263,4.203616388189518,5.224139772640575,6.137239642938889,6.937880521858551,7.636133363851377,8.250461585412376,8.777508201724268,9.227344167238881,9.559685664148928,9.475761043717098,9.427084763866636,9.386800946059358,9.3565880827039,9.329732204165714,9.306233310444801,9.286091401541162,9.26762798504616,9.250843060959793,9.234058136873427,9.218951705195698,9.205523765926605,9.193774319066149,9.180346379797056,9.1685969329366,9.160204470893417,9.150133516441597,9.140062561989778,9.131670099946595,9.121599145494775,9.111528191042956,9.10481422140841,9.096421759365226,9.08970778973068,9.082993820096133,9.07460135805295,9.067887388418404,9.059494926375221,9.052780956740675,9.047745479514765,9.041031509880218,9.035996032654309,9.029282063019762,9.024246585793852,9.019211108567943,9.014175631342033
t,0.0,2.0,5.0,7.0,10.0,13.0,15.0,18.0,21.0,23.0,26.0,28.0,31.0,34.0,36.0,39.0,42.0,44.0,47.0,49.0,52.0,55.0,57.0,60.0,62.0,65.0,68.0,70.0,73.0,76.0,78.0,81.0,83.0,86.0,89.0,91.0,94.0,97.0,99.0,102.0,104.0,107.0,110.0,112.0,115.0,118.0,120.0,123.0
