hydrostatic
testname,hydrostatic
result,PASS
bpressure,14.445777065690088
sample,nvbn
fluidname,
fluidvalue,
mode,null
recordy,5.527946898603798,7.016769665064469
recordx,7.0,10.0
duration,1 min:22 sec
durationsecond,82
testtime,16:37:44
testdate,19/07/2022
customerid,N0048
lotno,1
dia,5cm
thic,1
indistry,
application,
splate,5cm
ans,0.2054474708171199,2.1524986648355835,3.906523231860838,5.527946898603798,7.016769665064469,8.362920576791026,9.561364156557563,10.617135881589988,11.541985198748758,12.34262607766842,13.0157015335317,13.596459906919964,14.084901197833219,14.445777065690088,14.368566414892804,14.318211642633706,14.2812848096437,14.249393453879605,14.224216067750056,14.20239566643778,14.183932249942778,14.163790341039139,14.147005416952773,14.131898985275043
t,0.0,2.0,5.0,7.0,10.0,13.0,15.0,18.0,20.0,23.0,26.0,28.0,31.0,33.0,36.0,39.0,41.0,44.0,47.0,49.0,52.0,54.0,57.0,60.0
