hydrostatic
testname,hydrostatic
result,FAIL
bpressure,11.160296025024797
sample,nvbn
fluidname,
fluidvalue,
mode,null
recordy,7.751277943083847,11.217364766918442,11.160296025024797
recordx,18.0,89.0,162.0
duration,3 min:5 sec
durationsecond,185
testtime,16:44:13
testdate,19/07/2022
customerid,N0048
lotno,1
dia,5cm
thic,1
indistry,
application,
splate,5cm
ans,0.26352330815594804,1.623102159151598,2.856794079499503,4.001525902189671,5.064011596856643,6.044251163500421,6.938887617303733,7.751277943083847,8.483100633249409,9.132677195391777,9.71343556878004,10.227054245822844,10.676890211337453,11.073014419775694,11.378500038147555,11.349965667200733,11.333180743114367,11.318074311436638,11.308003356984818,11.296253910124362,11.287861448081179,11.279468986037996,11.27275501640345,11.266041046768903,11.261005569542993,11.254291599908447,11.249256122682537,11.245899137865264,11.240863660639354,11.235828183413444,11.232471198596171,11.229114213778898,11.224078736552988,11.220721751735715,11.217364766918442,11.214007782101168,11.212329289692532,11.208972304875259,11.205615320057985,11.202258335240712,11.200579842832076,11.198901350423439,11.195544365606166,11.19386587319753,11.192187380788893,11.18883039597162,11.187151903562983,11.187151903562983,11.18379491874571,11.180437933928436,11.180437933928436,11.177080949111163,11.177080949111163,11.17372396429389,11.172045471885253,11.170366979476617,11.16868848706798,11.167009994659344,11.165331502250707,11.16365300984207,11.161974517433434,11.160296025024797,11.160296025024797
t,0.0,2.0,5.0,7.0,10.0,13.0,15.0,18.0,20.0,23.0,26.0,28.0,31.0,33.0,36.0,39.0,41.0,44.0,47.0,49.0,52.0,54.0,57.0,60.0,62.0,65.0,68.0,70.0,73.0,75.0,78.0,81.0,83.0,86.0,89.0,91.0,94.0,96.0,99.0,102.0,104.0,107.0,110.0,112.0,115.0,117.0,120.0,123.0,125.0,128.0,131.0,133.0,136.0,138.0,141.0,144.0,146.0,149.0,151.0,154.0,157.0,159.0,162.0
